Id,Species
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,1
10,2
11,1
12,2
13,1
14,0
15,1
16,2
17,1
18,1
19,0
20,1
21,1
22,1
23,0
24,1
25,1
26,0
27,1
28,0
29,2
30,2
31,2
32,0
33,0
34,1
35,0
36,0
37,0
38,1
39,0
40,0
41,0
42,2
43,1
44,2
45,0
46,0
47,0
48,0
49,0
50,1
51,0
52,0
53,1
54,0
55,0
56,1
57,0
58,0
59,0
60,0
61,0
62,2
63,1
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,1
73,0
74,1
75,0
76,0
77,1
78,0
79,1
80,0
81,0
82,1
83,0
84,2
85,1
86,0
87,0
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,1
98,1
99,0
100,0
101,0
102,2
103,0
104,0
105,1
106,0
107,1
108,0
109,1
110,1
111,2
112,1
113,0
114,2
115,0
116,0
117,0
118,2
119,0
120,0
121,1
122,1
123,2
124,0
125,0
126,2
127,0
128,1
129,1
130,1
131,0
132,2
133,1
134,0
135,2
136,1
137,1
138,0
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,1
148,2
149,2
150,1
151,2
152,1
153,1
154,0
155,0
156,0
157,2
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,1
169,1
170,2
171,2
172,1
173,1
174,0
175,0
176,0
177,0
178,1
179,0
180,2
181,0
182,2
183,0
184,0
185,0
186,0
187,0
188,2
189,0
190,0
191,2
192,0
193,0
194,1
195,1
196,0
197,0
198,0
199,0
200,0
